threshold,file,accuracy,avg_turns,std_turns,n_episodes
0.01,comparison_detective_cases_20260130_175506.json,0.8,7.4,9.329523031752482,5
0.05,comparison_detective_cases_20260130_180307.json,0.2,11.0,11.454256850621082,5
0.1,comparison_detective_cases_20260130_180511.json,0.2,3.4,2.2449944320643644,5
0.2,comparison_detective_cases_20260130_180559.json,0.0,1.4,0.8000000000000002,5
0.3,comparison_detective_cases_20260130_181617.json,0.4,1.0,0.0,5
0.5,comparison_detective_cases_20260130_181652.json,0.4,1.0,0.0,5
